FIPS,Year,CountyName,PersonalIncome,DiabetesPercent
1001,2004,"Autauga, AL",34269,10
1001,2005,"Autauga, AL",34112,11.1
1001,2006,"Autauga, AL",34324,11.4
1001,2007,"Autauga, AL",35669,11.4
1001,2008,"Autauga, AL",35978,11.4
1001,2009,"Autauga, AL",35403,12.3
1001,2010,"Autauga, AL",35737,11.8
1001,2011,"Autauga, AL",35524,12.1
1001,2012,"Autauga, AL",35464,12
1001,2013,"Autauga, AL",35345,13
1003,2004,"Baldwin, AL",38026,8.1
1003,2005,"Baldwin, AL",39349,8.4
1003,2006,"Baldwin, AL",41328,9.1
1003,2007,"Baldwin, AL",41508,9.4
1003,2008,"Baldwin, AL",39291,9.8
1003,2009,"Baldwin, AL",37755,11.4
1003,2010,"Baldwin, AL",38555,11.8
1003,2011,"Baldwin, AL",38806,11.5
1003,2012,"Baldwin, AL",38189,10.8
1003,2013,"Baldwin, AL",37727,10.4
1005,2004,"Barbour, AL",27986,10.1
1005,2005,"Barbour, AL",28515,10.7
1005,2006,"Barbour, AL",28836,12.4
1005,2007,"Barbour, AL",29117,13
1005,2008,"Barbour, AL",28291,13.6
1005,2009,"Barbour, AL",28734,14
1005,2010,"Barbour, AL",29830,14.2
1005,2011,"Barbour, AL",29206,14.8
1005,2012,"Barbour, AL",28446,16.2
1005,2013,"Barbour, AL",30081,18.4
1007,2004,"Bibb, AL",25125,8.9
1007,2005,"Bibb, AL",24310,9.4
1007,2006,"Bibb, AL",24712,10.9
1007,2007,"Bibb, AL",26007,11.6
1007,2008,"Bibb, AL",26305,11.1
1007,2009,"Bibb, AL",25848,11.8
1007,2010,"Bibb, AL",26711,11.1
1007,2011,"Bibb, AL",26862,12.7
1007,2012,"Bibb, AL",27393,13.2
1007,2013,"Bibb, AL",27375,14.8
1009,2004,"Blount, AL",27867,8.3
1009,2005,"Blount, AL",28407,8.6
1009,2006,"Blount, AL",28444,9.6
1009,2007,"Blount, AL",29503,10.5
1009,2008,"Blount, AL",30161,11.4
1009,2009,"Blount, AL",29772,12.6
1009,2010,"Blount, AL",29485,14
1009,2011,"Blount, AL",29135,13.2
1009,2012,"Blount, AL",29667,13.8
1009,2013,"Blount, AL",29846,14.1
1011,2004,"Bullock, AL",24188,11.5
1011,2005,"Bullock, AL",23638,12
1011,2006,"Bullock, AL",24628,14
1011,2007,"Bullock, AL",24409,14.5
1011,2008,"Bullock, AL",24914,14.9
1011,2009,"Bullock, AL",25611,15.6
1011,2010,"Bullock, AL",24822,17.5
1011,2011,"Bullock, AL",25042,17.6
1011,2012,"Bullock, AL",24600,18.6
1011,2013,"Bullock, AL",26008,19.6
1013,2004,"Butler, AL",29084,11.3
1013,2005,"Butler, AL",28854,11.4
1013,2006,"Butler, AL",28760,12.8
1013,2007,"Butler, AL",30192,14.2
1013,2008,"Butler, AL",30165,15.1
1013,2009,"Butler, AL",29733,16.6
1013,2010,"Butler, AL",30333,16
1013,2011,"Butler, AL",29960,16.1
1013,2012,"Butler, AL",30674,16.4
1013,2013,"Butler, AL",31572,17.7
1015,2004,"Calhoun, AL",32671,9.8
1015,2005,"Calhoun, AL",32463,10.6
1015,2006,"Calhoun, AL",32703,11.9
1015,2007,"Calhoun, AL",33642,13.5
1015,2008,"Calhoun, AL",33224,14.5
1015,2009,"Calhoun, AL",32683,14.2
1015,2010,"Calhoun, AL",32772,13.9
1015,2011,"Calhoun, AL",32567,13.2
1015,2012,"Calhoun, AL",32186,14.3
1015,2013,"Calhoun, AL",31347,14.9
1017,2004,"Chambers, AL",29354,11.6
