DiabetesPercent,CountyName,FIPS,Year,PersonalIncome
10,"Autauga, AL",1001,2004,27789
11.1,"Autauga, AL",1001,2005,28598
11.4,"Autauga, AL",1001,2006,29705
11.4,"Autauga, AL",1001,2007,31748
11.4,"Autauga, AL",1001,2008,33251
12.3,"Autauga, AL",1001,2009,32602
11.8,"Autauga, AL",1001,2010,33452
12.1,"Autauga, AL",1001,2011,34303
12,"Autauga, AL",1001,2012,34954
13,"Autauga, AL",1001,2013,35345
8.1,"Baldwin, AL",1003,2004,30835
8.4,"Baldwin, AL",1003,2005,32989
9.1,"Baldwin, AL",1003,2006,35766
9.4,"Baldwin, AL",1003,2007,36945
9.8,"Baldwin, AL",1003,2008,36313
11.4,"Baldwin, AL",1003,2009,34768
11.8,"Baldwin, AL",1003,2010,36090
11.5,"Baldwin, AL",1003,2011,37472
10.8,"Baldwin, AL",1003,2012,37639
10.4,"Baldwin, AL",1003,2013,37727
10.1,"Barbour, AL",1005,2004,22694
10.7,"Barbour, AL",1005,2005,23906
12.4,"Barbour, AL",1005,2006,24955
13,"Barbour, AL",1005,2007,25916
13.6,"Barbour, AL",1005,2008,26147
14,"Barbour, AL",1005,2009,26461
14.2,"Barbour, AL",1005,2010,27923
14.8,"Barbour, AL",1005,2011,28202
16.2,"Barbour, AL",1005,2012,28037
18.4,"Barbour, AL",1005,2013,30081
8.9,"Bibb, AL",1007,2004,20374
9.4,"Bibb, AL",1007,2005,20381
10.9,"Bibb, AL",1007,2006,21386
11.6,"Bibb, AL",1007,2007,23148
11.1,"Bibb, AL",1007,2008,24311
11.8,"Bibb, AL",1007,2009,23803
11.1,"Bibb, AL",1007,2010,25003
12.7,"Bibb, AL",1007,2011,25939
13.2,"Bibb, AL",1007,2012,26999
14.8,"Bibb, AL",1007,2013,27375
8.3,"Blount, AL",1009,2004,22597
8.6,"Blount, AL",1009,2005,23815
9.6,"Blount, AL",1009,2006,24616
10.5,"Blount, AL",1009,2007,26260
11.4,"Blount, AL",1009,2008,27875
12.6,"Blount, AL",1009,2009,27417
14,"Blount, AL",1009,2010,27600
13.2,"Blount, AL",1009,2011,28133
13.8,"Blount, AL",1009,2012,29240
14.1,"Blount, AL",1009,2013,29846
11.5,"Bullock, AL",1011,2004,19614
12,"Bullock, AL",1011,2005,19817
14,"Bullock, AL",1011,2006,21314
14.5,"Bullock, AL",1011,2007,21726
14.9,"Bullock, AL",1011,2008,23026
15.6,"Bullock, AL",1011,2009,23585
17.5,"Bullock, AL",1011,2010,23235
17.6,"Bullock, AL",1011,2011,24181
18.6,"Bullock, AL",1011,2012,24246
19.6,"Bullock, AL",1011,2013,26008
11.3,"Butler, AL",1013,2004,23584
11.4,"Butler, AL",1013,2005,24190
12.8,"Butler, AL",1013,2006,24890
14.2,"Butler, AL",1013,2007,26873
15.1,"Butler, AL",1013,2008,27879
16.6,"Butler, AL",1013,2009,27381
16,"Butler, AL",1013,2010,28394
16.1,"Butler, AL",1013,2011,28930
16.4,"Butler, AL",1013,2012,30233
17.7,"Butler, AL",1013,2013,31572
9.8,"Calhoun, AL",1015,2004,26493
10.6,"Calhoun, AL",1015,2005,27216
11.9,"Calhoun, AL",1015,2006,28302
13.5,"Calhoun, AL",1015,2007,29944
14.5,"Calhoun, AL",1015,2008,30706
14.2,"Calhoun, AL",1015,2009,30098
13.9,"Calhoun, AL",1015,2010,30677
13.2,"Calhoun, AL",1015,2011,31447
14.3,"Calhoun, AL",1015,2012,31723
14.9,"Calhoun, AL",1015,2013,31347
11.6,"Chambers, AL",1017,2004,23803
12.3,"Chambers, AL",1017,2005,24658
14.2,"Chambers, AL",1017,2006,25577
15.1,"Chambers, AL",1017,2007,26600
16.1,"Chambers, AL",1017,2008,25884
16.2,"Chambers, AL",1017,2009,26060
15,"Chambers, AL",1017,2010,27330
15.7,"Chambers, AL",1017,2011,28595
15.8,"Chambers, AL",1017,2012,29200
16.4,"Chambers, AL",1017,2013,29498
9.6,"Cherokee, AL",1019,2004,22334
10.5,"Cherokee, AL",1019,2005,23188
12.8,"Cherokee, AL",1019,2006,23574
13.3,"Cherokee, AL",1019,2007,25897
13.6,"Cherokee, AL",1019,2008,27491
13.2,"Cherokee, AL",1019,2009,27196
13.6,"Cherokee, AL",1019,2010,27818
13.7,"Cherokee, AL",1019,2011,28351
14.9,"Cherokee, AL",1019,2012,29304
13.3,"Cherokee, AL",1019,2013,30660
8.6,"Chilton, AL",1021,2004,23285
9.4,"Chilton, AL",1021,2005,24328
9.5,"Chilton, AL",1021,2006,26009
9.8,"Chilton, AL",1021,2007,27313
10.2,"Chilton, AL",1021,2008,27472
11.9,"Chilton, AL",1021,2009,27141
12.5,"Chilton, AL",1021,2010,27429
13.2,"Chilton, AL",1021,2011,28625
13.2,"Chilton, AL",1021,2012,29274
13.3,"Chilton, AL",1021,2013,29508
11.5,"Choctaw, AL",1023,2004,21722
11.9,"Choctaw, AL",1023,2005,22067
12.2,"Choctaw, AL",1023,2006,23403
13.1,"Choctaw, AL",1023,2007,24067
14.7,"Choctaw, AL",1023,2008,24580
